SK_STRATEGY,STRATEGY_NAME,FIRST_CATEGORY,SECOND_CATEGORY,STRATEGY_STRUCTURE,STRATEGY_EXPECT,MANAGER_USER,START_DATE,STRATEGY_LOGIC,FALLBACK_CONTROL,SUIT_MARKET,SK_FILE,STRATEGY_LABEL,INDEX_NAME,STRATEGY_CALMAR,STRATEGY_STYLE,STRATEGY_QUARTER_RATE,STRATEGY_YEAR_RATE,STRATEGY_YEAR_YIELD,STRATEGY_VOL,STRATEGY_MAX_DRAWDOWN,STRATEGY_WEEK_YIELD,STRATEGY_MONTH_YIELD,STRATEGY_3MONTH_YIELD,STRATEGY_HALF_YEAR_YIELD,STRATEGY_1YEAR_YIELD,STRATEGY_3YEAR_YIELD,STRATEGY_ESTABLISH_YIELD,STRATEGY_THIS_YEAR_YIELD,SK_DATE,FILE_NAME,FILE_DATE,FILE_URL
81,行业轮动绝对收益,ETF,,1,5,多策略-姚育婷,2018-01-01,策略是指数的时序策略，通过反弹指标、拥挤度等维度刻画指数超跌反弹区间、趋势动量区间，获取绝对收益。,策略自带择时，通过仓位控制回撤。,策略适用于beta行情，高波动行情收益更高。,,"多头绝对收益,卡玛高,稳健权益型策略",中证800,0.8813,,0.5769,0.6667,0.1564,0.1122,0.1775,0.0065,-0.0054,-0.0170,0.0239,0.1480,0.9701,1.6031,0.1002,20230803,,,
82,黄金择时,商品,,1,5,多策略-夏莉,2016-01-01,根据美债、汇率与VIX等指标，根据利率和汇率方向，和避险指标的阈值构建黄金的择时框架,趋势指标买入偏右侧，卖出偏左侧，可以控制回撤,适用于预期联储降息时期（降息美元扩张时期），基本面对应非危机的正常衰退时期,,"低股债相关性收益来源,更多超额收益,且最大回撤可控",华安黄金ETF,1.0270,,0.5000,0.4286,0.0944,0.0709,0.0919,-0.0048,0.0016,0.0197,0.0597,0.1140,0.1588,0.9813,0.0699,20230803,,,
83,全天候,混合型,,2,5,多策略-夏莉,2016-01-01,1、全天候策略的投资范围涉及股债商三类，首先从风险平价的角度确定股、债、商三类资产的中枢仓位。2、其次，为了在提高胜率的同时降低波动性，策略在第二层根据宏观指标进行择时提高胜率。,择时卖出机制可以控制回撤，不同资产之间也可以进行对冲,适合于任何时间,,"高夏普,回撤可控,全天候收益",一级债基指数,3.6888,,0.6538,1.0000,0.0691,0.0186,0.0187,0.0003,0.0000,0.0109,0.0300,0.0303,0.2228,0.5530,0.0386,20230803,,,
84,股指多空,股指期货,,1,5,衍生品-李辰,2020-01-01,"1.首先构建个股行为金融价量因子，然后基于成分股等权合成宽基指数的价量因子。
2.根据价量因子打分构建IF,IC,IM三个股指期货的多空组合。
3.对多个多空组合信号按照一定的权重叠加。",持仓时间偏短且仓位无多头敞口，短期大幅回撤概率较小。,"股票市场高波动行情中预期收益更高。
大小盘风格差异较大时收益较高。",,"绝对收益,高频信号,风格趋势跟随,无权益净敞口",理财收益,6.5682,,0.8571,1.0000,0.1808,0.0389,0.0275,-0.0027,0.0089,0.0126,0.0268,0.1501,0.6002,0.8146,0.0285,20230803,,,
85,期指复制看涨期权,股指期货,,1,5,衍生品-李辰,2018-01-01,"1.根据指数波动率及涨跌幅，构建基于Delta仓位变化的股指复制买入平值看涨期权仓位。2,根据股指多周期技术指标、期权合约相关指标、市场结构相关指标等，构建择时增强信号。",策略根据市场变化动态调整仓位，在市场不利环境下，通过快速降低仓位控制回撤,适合熊市,,"期权复制,股指择时,防御型策略",理财收益,0.2844,,0.4091,0.6000,0.0442,0.1085,0.1554,0.0126,0.0045,-0.0172,-0.0463,-0.0294,0.0217,0.2733,-0.0019,20230803,,,
86,逆向股基优选,股基FOF,,1,5,多策略-赵浩,2016-04-01,"1.首先构建股基特征因子(低beta、低波、隐性交易、择时选股因子等)，
2.然后基于持仓和净值对全市场股基，滚动计算时序因子暴露。
3.根据因子暴露与打分，优选逆向策略股基。
4.在打分前50只基金进行基金经理调研评估，剔除投资策略、经理管理等负向影响因素，确定20-30只基金，构建FOF组合。",持仓周期较长，季度调仓，低beta和低波保证下行波动小于同类股基和沪深300。,震荡、下跌市以及价值风格占优市场,,"股基优选,低beta,低波,逆向,garp风格",万得偏股混合型基金指数,0.4311,,0.5862,0.6667,0.1000,0.1163,0.2319,0.0034,0.0055,-0.0180,0.0017,0.0328,0.0813,1.0133,0.0525,20230803,,,
87,纯粹价值,股票,价值,1,5,固收-陈侃,2017-01-01,从中期视角审视公司，选择盈利稳定、长期高分红意愿的公司构成选股池，择其中估值极低的个券构成最终组合,个股低估值控风险，整体根据估值与趋势控仓位。,适合于任何时间,,"量化,低估值,低Beta",理财收益,,,,,,,,,,,,,,,,,,,
89,行业轮动月频,ETF,,1,5,多策略-姚育婷,,策略根据各行业景气度变化、机构资金偏好、市场微观结构、拥挤度等维度指标，优选高景气度、资金追逐、趋势强且拥挤度低的行业，选择相应的ETF进行轮动配置。,策略是相对收益策略，具有一定的回撤。,策略适用于beta行情，高波动行情收益更高。,,"相对收益,月频换仓,行业轮动",中证800,,,,,,,,,,,,,,,,,,,
90,多因子轮动股基FOF,股基FOF,,1,5,多策略-赵浩,2017-01-04,基于宏观因子、风格因子、行业偏离因子和beta因子进行大类股基品种比较，通过多因子优选股基，实现不同风格、高低beta间切换，实现相对中证800的稳定超额表现。,月度调仓，下跌有限，上涨弹性高,适用于任何市场,,风格轮动、股基优选、garp风格、高夏普,中证800,,,,,,,,,,,,,,,,,,,
91,ETF风格轮动,ETF,,1,5,多策略-姚育婷,2015-01-01,大盘板块、价值板块与经济景气度相关性较高，小盘板块、成长板块与流动性相关性较高。市场风格通常会在一段时间内出现持续强势现象。综合宏观、中观等指标，从经济景气、流动性、市场情绪等维度构建大小盘轮动策略与价值成长轮动策略。,策略是相对收益策略，具有一定的回撤。,策略适用于beta行情，高波动行情收益更高。,,相对收益，每天跟踪，不定期换仓,中证800,,,,,,,,,,,,,,,,,,,
